,train_result,test_list
0,210966,216882
1,239828,246771
2,236241,242290
3,246617,254884
4,233077,240077
5,244927,252945
6,233260,238289
7,234591,240148
8,244491,249917
9,238595,246856
10,238937,249189
11,227871,235483
12,241912,248683
13,240774,248340
14,232112,237618
15,238112,245176
16,237375,245005
17,239640,250252
18,234653,244145
19,237258,244871
20,235214,244638
21,234569,241298
22,238069,246409
23,239811,246628
24,229641,238481
25,235641,243633
26,228730,232990
27,232566,240038
28,235376,239453
29,232156,235626
30,236862,243844
31,240711,245789
32,236263,243461
33,232361,241344
34,246244,252575
35,238442,244798
36,242283,250447
37,233939,240489
38,231162,237646
39,236945,243652
40,237634,243554
41,233525,240948
42,237485,244709
43,231593,237941
44,232299,240191
45,241153,247184
46,238213,244408
47,245501,253276
48,238518,245907
49,234403,242346
50,227358,235791
51,234826,240980
52,242404,252348
53,238452,244822
54,232504,237925
55,236229,244823
56,234459,238748
57,232844,239422
58,229331,235126
59,233086,241148
60,229597,237687
61,235009,239669
62,232347,239968
63,235715,242036
64,234250,241315
65,226576,235659
66,234114,240822
67,239095,247249
68,234403,240521
69,235063,242966
70,233374,241466
71,231364,236189
72,233398,239791
73,233534,241100
74,234523,242160
75,229411,236135
76,232509,239267
77,230557,236574
78,230433,235684
79,240770,248436
80,238541,244904
81,230075,237299
82,230983,236183
83,235297,241693
84,231853,238683
85,241538,248503
86,233524,239987
87,231817,235803
88,231158,233115
89,222316,230325
90,229949,238970
91,226696,233266
92,226464,231330
93,229443,234106
94,231880,238370
95,233739,241154
96,233062,240076
97,238055,244834
98,238373,244481
99,229671,235060
100,233937,242302
101,237944,245065
102,228751,234722
103,233955,244735
104,232622,239235
105,233268,239335
106,235236,241807
107,222678,232453
108,227061,233860
109,224617,229965
110,230562,238185
111,224259,229603
112,232027,239489
113,225053,230998
114,227085,231230
115,234450,241140
116,227140,232284
117,226764,232000
118,220515,225540
119,235105,237066
120,234975,244488
121,232450,240198
122,235175,242865
123,236294,242737
124,231838,238439
125,233362,240666
126,234997,239968
127,235410,241350
128,240197,246473
129,228868,234408
130,233704,240433
131,232457,236548
132,225656,231859
133,237288,242152
134,230041,238972
135,228941,234621
136,225087,229674
137,227663,239171
138,227251,232499
139,229004,237809
140,233602,238784
141,235035,241096
142,233967,242957
143,229138,233533
144,219578,224498
145,235350,240648
146,229886,234673
147,219941,227834
148,241399,247595
149,222878,227693
150,215445,222313
151,222774,227260
152,228441,234236
153,229744,233965
154,225833,231427
155,226071,239374
156,227678,232230
157,218416,222622
158,218855,221642
159,215556,217660
160,223478,228801
161,220994,225458
162,232626,240083
163,238250,246570
164,233107,239957
165,212408,216175
166,222098,228689
167,228722,234925
168,233902,242128
169,221897,229574
170,227959,235370
171,215790,220862
172,230062,237088
173,226854,231028
174,229945,233843
175,216212,217279
176,227509,230706
177,241254,245907
178,223360,228977
179,228064,231968
180,223133,229812
181,227706,230563
182,222829,224971
183,228514,230395
184,234562,239113
185,227958,234722
186,229581,236442
187,230093,238280
188,225175,228637
189,230159,237166
190,218418,224456
191,218999,223847
192,219287,225988
193,212217,215122
194,222297,229259
195,219943,224465
196,222929,229559
197,222323,228390
198,227469,229626
199,232970,238405
200,229293,234476
201,221532,225747
202,233836,235819
203,232702,242661
204,230831,236380
205,224765,229862
206,231262,237558
207,232917,237891
208,228435,233843
209,219303,222681
210,220783,221125
211,221883,224437
212,214750,218798
213,235273,241642
214,233477,239633
215,231719,236641
216,237682,243384
217,230005,237053
218,224021,229872
219,224782,232420
220,227782,231799
221,235611,242975
222,217657,221731
223,221585,224782
224,220124,227809
225,221802,224716
226,212466,216127
227,220843,225729
228,216016,222756
229,214170,219969
230,214783,219520
231,213949,215854
232,214427,215073
233,223440,228944
234,228026,237489
235,222149,226680
236,222808,228735
237,221936,230813
238,220324,226544
239,212282,218351
240,213100,218640
241,213608,219048
242,206073,207912
243,215839,217961
244,216687,221698
245,224491,232414
246,203352,208412
247,211975,220137
248,217273,221800
249,217227,222673
250,227250,235796
251,224116,230596
252,216449,224624
253,216417,224472
254,215998,219011
255,215651,218507
256,218586,225729
257,222404,232784
258,221143,227875
259,207615,211675
260,209888,213626
261,228378,232596
262,215728,218754
263,232065,239281
264,219494,221975
265,214217,220575
266,222372,225823
267,208731,213317
268,220275,225384
269,217018,218053
270,221345,223414
271,204347,205713
272,206364,210482
273,212883,218614
274,212527,217716
275,211415,216614
276,208575,209510
277,214905,213381
278,208620,222117
279,204255,209352
280,206035,211797
281,206751,218588
282,218364,222799
283,224137,230691
284,224059,229232
285,221659,224913
286,214590,218685
287,222056,225603
288,214411,218568
289,215610,220439
290,215943,221015
291,230061,232358
292,220551,229297
293,219492,227074
294,215229,221041
295,214593,220187
296,214289,218764
297,221872,231080
298,220509,224297
299,221905,225333
300,223660,231885
301,224321,227715
302,234340,243609
303,240542,247822
304,231782,238468
305,231629,239140
306,235779,241393
307,233087,238232
308,236656,244191
309,235922,244519
310,234475,240013
311,237878,247914
312,236787,242478
313,235744,240215
314,235168,241265
315,236051,238031
316,234073,236031
317,230517,236365
318,222616,228666
319,228458,233585
320,234020,241965
321,226072,231492
322,226127,231456
323,228230,230150
324,220301,230642
325,214919,219490
326,213449,221536
327,213392,217938
328,222431,227713
329,213577,219332
330,217631,218134
331,213547,223767
332,217670,217612
333,215900,227714
334,228572,234895
335,223437,224999
336,217894,221518
337,222099,231733
338,219795,229877
339,227595,228936
340,225158,232099
341,213029,218291
342,226293,233345
343,219784,225954
344,216272,226615
345,220858,225633
346,219292,223821
347,208987,216094
348,215022,221717
349,211885,216127
350,215735,221846
351,212373,215655
352,221398,223957
353,209667,212071
354,222265,228013
355,220916,232467
356,211434,218281
357,215919,219413
358,203294,207550
359,207329,212460
360,212936,217604
361,213682,216462
362,233307,240923
363,237090,242694
364,235024,239326
365,231788,237507
366,223119,228170
367,228036,234846
368,231835,240003
369,222509,230121
370,225588,231991
371,228527,234682
372,230562,240759
373,237122,244021
374,235288,241002
375,227847,234005
376,228355,232236
377,231546,234789
378,234355,240800
379,234565,239493
380,226529,243632
381,236329,244495
382,222546,227317
383,229728,231614
384,232203,235902
385,230701,236339
386,221344,228864
387,221063,224145
388,228928,237163
389,226239,232060
390,226841,233274
391,228863,236289
392,220933,227663
393,230158,233093
394,229638,235627
395,215439,225766
396,213735,219288
397,215109,222470
398,212597,217494
399,204611,209887
400,221431,223656
401,217827,221773
402,228021,228966
403,209633,213208
404,212895,217067
405,215369,216061
406,221371,224346
407,206247,212483
408,221340,224074
409,209163,215741
410,209779,211717
411,215629,216232
412,225151,230605
413,220292,229410
414,218183,226054
415,219166,222467
416,215229,221385
417,208842,216888
418,229819,236687
419,226441,231866
420,231162,240481
421,235665,242623
422,219089,221081
423,222509,229299
424,210003,213438
425,220813,229958
426,220237,224517
427,221083,227763
428,221858,227532
429,223687,229152
430,220931,223579
431,218590,227410
432,223398,226962
433,218860,222857
434,215115,224153
435,226822,234534
436,219051,227862
437,218182,221969
438,220000,223930
439,219976,222109
440,216434,219305
441,221148,228645
442,215092,218776
443,221917,227643
444,221228,224859
445,205479,207498
446,216621,220074
447,206272,209310
448,210085,213065
449,205678,208908
450,211954,212291
451,216355,218071
452,213450,215460
453,214002,216392
454,210568,212388
455,213745,217135
456,210478,215143
457,203762,204174
458,208145,211366
459,201934,203313
460,204764,207070
461,200068,200331
462,203664,204537
463,203077,202653
464,215047,223393
465,220845,226925
466,219356,223589
467,218768,224421
468,216084,219454
469,222092,225079
470,213756,219430
471,219802,222668
472,217239,222002
473,217169,220406
474,218324,220466
475,218681,220301
476,217891,220328
477,219296,218481
478,221549,226710
479,205586,210444
480,209567,211494
481,208598,214783
482,221545,227010
483,211050,206984
484,200039,205690
485,202349,209882
486,210352,214014
487,195040,197593
488,207519,210176
489,198971,201973
490,202769,206145
491,196873,197308
492,197095,199545
493,209015,208763
494,197512,199152
495,201073,204751
496,204492,208350
497,201416,201152
498,197802,201197
499,201566,207085
500,198902,201905
501,203588,206257
502,216047,218428
503,206233,209239
504,207853,212408
505,207873,209255
506,209982,216925
507,208132,210533
508,203825,205058
509,217595,222288
510,209089,211194
511,209162,215164
512,201772,206272
513,216993,219631
514,216259,217026
515,212274,217620
516,208095,208219
517,205855,207491
518,208965,211658
519,202300,204589
520,198339,199730
521,196200,199093
522,198808,200689
523,201254,204172
524,207331,210359
525,201057,200387
526,202890,207634
527,210181,211859
528,205346,208774
529,203761,206498
530,206953,208543
531,215267,219734
532,226675,229216
533,217875,221471
534,220055,221506
535,214860,219953
536,214961,219272
537,210822,210691
538,204255,205832
539,203998,207094
540,204895,209410
541,207847,214843
542,209957,214553
543,213352,213676
544,209240,216886
545,214086,217505
546,213261,216929
547,215514,219373
548,212527,215860
549,217963,220533
550,207566,209383
551,215128,218259
552,202886,202484
553,213953,212752
554,207350,212077
555,197380,200903
556,213540,219228
557,198300,199717
558,205735,205769
559,209972,209151
560,213079,216917
561,205317,205852
562,215514,216395
563,212278,217364
564,211164,212210
565,204696,205784
566,215986,216067
567,206950,210398
568,206478,205258
569,213108,217884
570,209190,211467
571,212296,212566
572,221660,224620
573,221602,221846
574,216239,220382
575,215446,219191
576,211948,215494
577,215983,216815
578,213228,217225
579,217925,222532
580,214791,218591
581,213396,216255
582,205013,208541
583,215816,222782
584,212008,214678
585,211374,212573
586,220378,223194
587,217219,223826
588,215895,211284
589,209255,211822
590,210104,211611
591,208399,211662
592,208670,209713
593,201990,206342
594,213133,212976
595,209687,212139
596,205156,205408
597,218399,220977
598,211005,212645
599,204764,207970
600,211004,212701
601,210255,214003
602,222284,228584
603,231171,235316
604,237050,241207
605,219944,225313
606,225256,228815
607,214200,216351
608,208124,209830
609,208439,212037
610,215664,219185
611,225282,227779
612,215382,220632
613,213410,218349
614,223854,230518
615,217443,221450
616,219255,219535
617,226008,227471
618,219806,223497
619,216188,219494
620,213771,214084
621,216726,217774
622,221464,225439
623,238449,244154
624,245681,250192
625,243082,248347
626,247352,251531
627,249302,250596
628,245027,248553
629,243097,248519
630,246030,249893
631,244152,246819
632,245705,251407
633,244479,248927
634,246077,250915
635,241385,246161
636,243218,247522
637,241532,247623
638,243749,249880
639,234868,238568
640,242029,247132
641,242909,248309
642,216017,219891
643,217829,220590
644,219985,222271
645,217609,222248
646,215979,217949
647,222526,228450
648,209650,212852
649,224814,229721
650,216194,221905
651,211545,216340
652,213189,212068
653,212468,216322
654,211812,215225
655,206854,209617
656,215051,217387
657,204633,207391
658,219067,219874
659,212978,216139
660,207836,207550
661,209546,209431
662,206684,209166
663,213269,219413
664,214077,214885
665,215415,216351
666,210608,215251
667,207660,208846
668,213607,216118
669,217900,221687
670,209817,212692
671,215789,223758
672,217561,222865
673,220304,224993
674,219038,220939
675,221301,224858
676,221007,225012
677,229079,232662
678,216989,218586
679,214787,214930
680,216664,220136
681,215405,220886
682,220023,223251
683,221614,230637
684,225485,228844
685,213900,213468
686,209222,213779
687,216504,221910
688,217682,219820
689,212999,215722
690,216789,222089
