average_uptime,average_downtime,machine,e,ct,product
0 days 00:33:47.050000000,0 days 00:00:09.105263157,#20-2,0.9955282078327944,0 days 00:00:13.000000000,1856
0 days 00:33:44.700000000,0 days 00:00:09.105263157,#20-1,0.9955230408132261,0 days 00:00:17.000000000,1853
0 days 01:15:27.666666666,0 days 00:00:20.000000000,#50-2,0.995602140291724,0 days 00:00:15.000000000,1875
0 days 01:01:46.909090909,0 days 00:00:29.700000000,#70-2,0.9920516170470551,0 days 00:00:15.000000000,1889
0 days 01:25:50.875000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:14.000000000,1896
0 days 01:15:23.777777777,0 days 00:00:20.000000000,#50-1,0.9955983762899195,0 days 00:00:14.000000000,1871
0 days 01:01:45.545454545,0 days 00:00:28.400000000,#70-1,0.9923941042134317,0 days 00:00:16.000000000,1887
0 days 00:18:35.833333333,0 days 00:00:16.657142857,#30,0.9852915823954308,0 days 00:00:17.000000000,1857
0 days 01:26:15.875000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:16.000000000,1900
0 days 02:16:02.000000000,0 days 00:00:01.000000000,#40,0.9998774960186206,0 days 00:00:13.000000000,1863
0 days 02:02:20.666666666,0 days 00:00:00.000000000,#170,1.0,0 days 00:00:10.000000000,1509
0 days 01:24:29.625000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:14.000000000,1851
0 days 01:25:32.375000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:10.000000000,1890
0 days 05:41:03.000000000,0 days 00:00:27.000000000,#60,0.9986822840409956,0 days 00:00:13.000000000,1881
0 days 01:40:04.142857142,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:25.000000000,955
0 days 01:25:59.125000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:15.000000000,1898
0 days 01:26:22.375000000,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:30.000000000,1902
0 days 01:28:31.000000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:14.000000000,1905
0 days 01:26:18.875000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:34.000000000,955
0 days 01:25:40.250000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,1892
