average_uptime,average_downtime,machine,e,ct,product
0 days 00:59:54.571428571,0 days 00:00:20.769230769,#20-2,0.9942552493040057,0 days 00:00:16.000000000,2200
0 days 00:59:47.571428571,0 days 00:00:20.846153846,#20-1,0.9942229098019091,0 days 00:00:16.000000000,2191
0 days 00:51:06.294117647,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:13.000000000,2224
0 days 01:00:05.533333333,0 days 00:00:19.214285714,#70-2,0.9946991383308911,0 days 00:00:16.000000000,2231
0 days 07:27:40.000000000,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:14.000000000,2236
0 days 00:51:00.411764705,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:17.000000000,2222
0 days 00:59:44.066666666,0 days 00:00:19.214285714,#70-1,0.9946675582703844,0 days 00:00:17.000000000,2227
0 days 00:38:05.454545454,0 days 00:00:18.714285714,#30,0.9918780753125136,0 days 00:00:16.000000000,2213
0 days 00:49:55.333333333,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:33.000000000,2245
0 days 03:31:05.250000000,0 days 00:00:25.000000000,#40,0.9980299836488643,0 days 00:00:14.000000000,2217
0 days 04:10:47.750000000,0 days 00:00:15.000000000,#170,0.9990041659059601,0 days 00:00:09.000000000,1800
0 days 00:46:38.111111111,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:11.000000000,2179
0 days 00:50:08.111111111,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,2233
0 days 07:13:07.000000000,0 days 00:00:44.000000000,#60,0.998309707656256,0 days 00:00:14.000000000,2228
0 days 00:48:06.833333333,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:33.000000000,1131
0 days 00:49:49.555555555,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:13.000000000,2237
0 days 00:54:03.705882352,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:32.000000000,2256
0 days 00:54:17.705882352,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:10.000000000,2259
0 days 00:48:13.500000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:34.000000000,1133
0 days 00:50:03.833333333,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,2234
