average_uptime,average_downtime,machine,e,ct,product
0 days 00:24:52.833333333,0 days 00:00:08.600000000,#20-2,0.9942721399551527,0 days 00:00:16.000000000,403
0 days 00:24:53.166666666,0 days 00:00:08.600000000,#20-1,0.9942734113155591,0 days 00:00:27.000000000,400
0 days 00:18:44.875000000,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:13.000000000,409
0 days 01:14:14.000000000,0 days 00:01:01.000000000,#70-2,0.9864894795127354,0 days 00:00:16.000000000,409
0 days 00:49:19.333333333,0 days 00:00:24.000000000,#100,0.991955307262569,0 days 00:00:17.000000000,408
0 days 00:18:45.125000000,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:07.000000000,408
0 days 01:14:16.000000000,0 days 00:01:01.000000000,#70-1,0.9864954615895506,0 days 00:00:15.000000000,408
0 days 00:18:33.750000000,0 days 00:00:11.571428571,#30,0.9897172236507625,0 days 00:00:16.000000000,408
0 days 00:18:42.625000000,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:18.000000000,416
0 days 00:50:07.000000000,0 days 00:00:01.000000000,#40,0.9996675531914894,0 days 00:00:14.000000000,412
0 days 00:32:50.400000000,0 days 00:00:03.000000000,#170,0.9984797810884768,0 days 00:00:09.000000000,354
0 days 00:18:46.875000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:28.000000000,401
0 days 00:18:54.250000000,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:07.000000000,409
0 days 00:18:43.250000000,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:13.000000000,408
0 days 00:18:29.875000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:21.000000000,209
0 days 00:18:36.000000000,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:15.000000000,410
0 days 00:50:14.333333333,0 days 00:00:16.000000000,#150,0.9947200527994714,0 days 00:00:30.000000000,419
0 days 00:18:38.250000000,0 days 00:00:00.000000000,#160,1.0,0 days 00:03:05.000000000,421
0 days 00:18:38.750000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:34.000000000,213
0 days 00:18:51.750000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:16.000000000,407
