average_uptime,average_downtime,machine,e,ct,product
0 days 00:28:35.428571428,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:17.000000000,500
0 days 01:39:13.500000000,0 days 00:00:31.000000000,#110,0.9948199515414822,0 days 00:00:15.000000000,497
0 days 00:25:21.625000000,0 days 00:00:14.857142857,#20-2,0.9903304161873473,0 days 00:00:12.000000000,498
0 days 00:28:38.714285714,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:30.000000000,500
0 days 01:07:46.000000000,0 days 00:00:26.500000000,#30,0.9935247403787416,0 days 00:00:18.000000000,496
0 days 00:29:20.714285714,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:14.000000000,501
0 days 01:08:13.666666666,0 days 00:00:01.500000000,#170,0.9996337145415326,0 days 00:00:09.000000000,415
0 days 01:40:10.000000000,0 days 00:00:33.000000000,#70-2,0.9945391361906338,0 days 00:00:16.000000000,498
0 days 00:28:13.571428571,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:14.000000000,495
0 days 00:28:36.857142857,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:11.000000000,497
0 days 00:28:35.714285714,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:31.000000000,252
0 days 00:28:11.428571428,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:17.000000000,495
0 days 01:40:22.500000000,0 days 00:00:33.000000000,#70-1,0.9945504087193461,0 days 00:00:18.000000000,497
0 days 00:29:07.428571428,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:13.000000000,495
0 days 00:28:40.285714285,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:34.000000000,255
0 days 00:29:24.428571428,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:15.000000000,499
0 days 00:29:03.428571428,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:13.000000000,496
0 days 00:29:03.285714285,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:17.000000000,494
0 days 00:28:57.714285714,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:13.000000000,498
0 days 00:25:22.500000000,0 days 00:00:14.857142857,#20-1,0.9903359197138866,0 days 00:00:16.000000000,499
