average_uptime,average_downtime,machine,e,ct,product
0 days 00:41:54.666666666,0 days 00:00:00.000000000,#130,1.0,0 days 00:00:16.000000000,341
0 days 00:41:44.333333333,0 days 00:00:00.000000000,#110,1.0,0 days 00:00:16.000000000,340
0 days 00:19:59.666666666,0 days 00:00:14.400000000,#20-2,0.9881390368458559,0 days 00:00:11.000000000,325
0 days 00:41:55.333333333,0 days 00:00:00.000000000,#150,1.0,0 days 00:00:29.000000000,342
0 days 00:14:55.875000000,0 days 00:00:18.571428571,#30,0.9796910699295732,0 days 00:00:18.000000000,326
0 days 00:40:12.000000000,0 days 00:00:00.000000000,#10,1.0,0 days 00:00:13.000000000,323
0 days 01:23:05.500000000,0 days 00:00:09.000000000,#170,0.9981980178196016,0 days 00:00:11.000000000,261
0 days 00:41:59.333333333,0 days 00:00:14.500000000,#70-2,0.9942774452410701,0 days 00:00:16.000000000,334
0 days 00:41:58.333333333,0 days 00:00:00.000000000,#100,1.0,0 days 00:00:17.000000000,339
0 days 00:42:07.666666666,0 days 00:00:00.000000000,#80,1.0,0 days 00:00:11.000000000,336
0 days 00:42:01.000000000,0 days 00:00:00.000000000,#120,1.0,0 days 00:00:26.000000000,173
0 days 00:42:06.000000000,0 days 00:00:00.000000000,#90,1.0,0 days 00:00:17.000000000,338
0 days 00:41:51.333333333,0 days 00:00:14.500000000,#70-1,0.9942593203563173,0 days 00:00:17.000000000,332
0 days 00:41:02.333333333,0 days 00:00:00.000000000,#40,1.0,0 days 00:00:13.000000000,327
0 days 00:41:51.000000000,0 days 00:00:00.000000000,#140,1.0,0 days 00:00:35.000000000,171
0 days 00:41:11.333333333,0 days 00:00:00.000000000,#160,1.0,0 days 00:00:11.000000000,341
0 days 00:41:10.333333333,0 days 00:00:00.000000000,#50-2,1.0,0 days 00:00:15.000000000,329
0 days 00:41:07.333333333,0 days 00:00:00.000000000,#50-1,1.0,0 days 00:00:06.000000000,328
0 days 00:41:04.333333333,0 days 00:00:00.000000000,#60,1.0,0 days 00:00:13.000000000,329
0 days 00:19:56.833333333,0 days 00:00:14.400000000,#20-1,0.9881112915210359,0 days 00:00:15.000000000,324
