start,stop,time
2019-06-21 02:30:10,2019-06-21 03:27:03,0 days 00:56:53.000000000
2019-06-21 04:08:33,2019-06-21 04:45:19,0 days 00:36:46.000000000
2019-06-21 04:55:26,2019-06-21 07:47:01,0 days 02:51:35.000000000
2019-06-21 08:32:08,2019-06-21 14:01:34,0 days 05:29:26.000000000
2019-06-21 14:11:45,2019-06-21 14:57:58,0 days 00:46:13.000000000
2019-06-21 15:21:48,2019-06-21 15:47:34,0 days 00:25:46.000000000
2019-06-21 15:57:35,2019-06-21 16:01:19,0 days 00:03:44.000000000
2019-06-21 16:11:20,2019-06-21 16:52:43,0 days 00:41:23.000000000
2019-06-21 20:32:34,2019-06-21 20:43:19,0 days 00:10:45.000000000
2019-06-21 20:53:27,2019-06-21 21:22:10,0 days 00:28:43.000000000
2019-06-21 21:32:11,2019-06-21 22:25:17,0 days 00:53:06.000000000
2019-06-21 22:35:30,2019-06-21 22:49:03,0 days 00:13:33.000000000
2019-06-21 22:59:04,2019-06-22 05:17:11,0 days 06:18:07.000000000
