start,stop,time
2019-06-01 00:30:40,2019-06-01 06:11:20,0 days 05:40:40.000000000
2019-06-01 06:21:21,2019-06-01 07:44:11,0 days 01:22:50.000000000
2019-06-03 08:38:38,2019-06-03 09:49:24,0 days 01:10:46.000000000
2019-06-03 10:00:37,2019-06-03 12:19:51,0 days 02:19:14.000000000
2019-06-03 12:58:11,2019-06-03 17:40:05,0 days 04:41:54.000000000
2019-06-03 18:01:28,2019-06-03 19:59:28,0 days 01:58:00.000000000
2019-06-03 20:32:08,2019-06-04 00:33:14,0 days 04:01:06.000000000
2019-06-04 00:43:37,2019-06-04 00:47:11,0 days 00:03:34.000000000
2019-06-04 00:58:16,2019-06-04 04:00:42,0 days 03:02:26.000000000
2019-06-04 04:10:43,2019-06-04 06:10:43,0 days 02:00:00.000000000
2019-06-04 06:20:44,2019-06-04 07:45:51,0 days 01:25:07.000000000
2019-06-04 08:26:52,2019-06-04 12:20:25,0 days 03:53:33.000000000
2019-06-04 12:56:48,2019-06-04 15:00:30,0 days 02:03:42.000000000
2019-06-04 15:11:21,2019-06-04 15:39:56,0 days 00:28:35.000000000
2019-06-04 15:49:57,2019-06-04 17:40:25,0 days 01:50:28.000000000
2019-06-04 18:01:18,2019-06-04 19:58:00,0 days 01:56:42.000000000
2019-06-04 20:35:37,2019-06-04 20:37:49,0 days 00:02:12.000000000
2019-06-04 20:47:50,2019-06-04 23:00:22,0 days 02:12:32.000000000
2019-06-04 23:10:23,2019-06-05 01:52:45,0 days 02:42:22.000000000
2019-06-05 02:18:29,2019-06-05 02:34:06,0 days 00:15:37.000000000
2019-06-05 02:47:52,2019-06-05 06:03:54,0 days 03:16:02.000000000
2019-06-05 06:13:55,2019-06-05 07:46:14,0 days 01:32:19.000000000
2019-06-05 08:27:58,2019-06-05 09:42:57,0 days 01:14:59.000000000
2019-06-05 09:52:58,2019-06-05 12:20:09,0 days 02:27:11.000000000
2019-06-05 12:57:39,2019-06-05 15:02:28,0 days 02:04:49.000000000
2019-06-05 15:13:50,2019-06-05 15:34:44,0 days 00:20:54.000000000
2019-06-05 15:44:45,2019-06-05 16:55:17,0 days 01:10:32.000000000
2019-06-05 20:34:39,2019-06-06 04:00:54,0 days 07:26:15.000000000
2019-06-06 04:10:55,2019-06-06 07:41:47,0 days 03:30:52.000000000
2019-06-07 08:32:38,2019-06-07 11:59:02,0 days 03:26:24.000000000
2019-06-07 12:09:05,2019-06-07 12:14:26,0 days 00:05:21.000000000
2019-06-07 12:54:41,2019-06-07 14:30:11,0 days 01:35:30.000000000
2019-06-07 14:40:18,2019-06-07 14:47:18,0 days 00:07:00.000000000
2019-06-07 14:57:19,2019-06-07 15:10:43,0 days 00:13:24.000000000
2019-06-07 15:32:32,2019-06-07 17:40:32,0 days 02:08:00.000000000
2019-06-07 18:06:16,2019-06-07 19:55:28,0 days 01:49:12.000000000
2019-06-07 20:41:36,2019-06-07 22:38:07,0 days 01:56:31.000000000
2019-06-07 22:48:37,2019-06-08 00:44:24,0 days 01:55:47.000000000
2019-06-08 00:57:12,2019-06-08 01:31:05,0 days 00:33:53.000000000
2019-06-08 01:41:06,2019-06-08 04:07:28,0 days 02:26:22.000000000
2019-06-08 04:17:31,2019-06-08 06:12:15,0 days 01:54:44.000000000
2019-06-08 06:22:23,2019-06-08 06:26:39,0 days 00:04:16.000000000
2019-06-08 06:39:01,2019-06-08 07:23:37,0 days 00:44:36.000000000
2019-06-08 07:35:55,2019-06-08 07:43:37,0 days 00:07:42.000000000
2019-06-10 09:14:44,2019-06-10 14:52:35,0 days 05:37:51.000000000
2019-06-10 15:11:28,2019-06-10 16:53:59,0 days 01:42:31.000000000
2019-06-10 20:31:53,2019-06-11 07:41:26,0 days 11:09:33.000000000
2019-06-11 08:23:57,2019-06-11 08:59:37,0 days 00:35:40.000000000
2019-06-11 09:09:43,2019-06-11 09:38:06,0 days 00:28:23.000000000
2019-06-11 09:48:26,2019-06-11 13:12:09,0 days 03:23:43.000000000
2019-06-11 13:22:10,2019-06-11 14:43:10,0 days 01:21:00.000000000
2019-06-11 14:53:18,2019-06-11 15:10:12,0 days 00:16:54.000000000
2019-06-11 15:20:15,2019-06-11 19:55:13,0 days 04:34:58.000000000
2019-06-11 20:31:02,2019-06-11 22:01:50,0 days 01:30:48.000000000
2019-06-11 22:20:46,2019-06-11 23:54:02,0 days 01:33:16.000000000
2019-06-12 00:30:20,2019-06-12 07:47:28,0 days 07:17:08.000000000
2019-06-12 08:32:21,2019-06-12 09:51:07,0 days 01:18:46.000000000
2019-06-12 10:01:18,2019-06-12 12:58:48,0 days 02:57:30.000000000
2019-06-12 13:12:02,2019-06-12 14:14:21,0 days 01:02:19.000000000
2019-06-12 14:31:48,2019-06-12 14:45:47,0 days 00:13:59.000000000
